//LoL champions

// |nimi          |rooli    |paikka  |related city |occupation             |jne
1  |Draven        |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1     
2  |Karthus       |4        |Mid     |Shadow Isles |Pentakill's vocalist   |  
3  |Jhin          |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
4  |Karma         |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
5  |Miss Fortune  |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Teemo         |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Katarina      |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Kassadin      |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Kennen        |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Rek'sai       |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Gragas        |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Lee Sin       |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Jarvan IV     |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
6  |Ashe          |5        |Bot     |Noxus        |Executioner            |OP AFTER 7.1 
